GEOID,NAME,pov_count,pov_se,snap,hu_sampled,pep,rrate
01059,"Franklin County, Alabama",5476,626.1398176291793," 5,202 ",987,31802,81.4
01061,"Geneva County, Alabama",5035,500.91185410334344," 5,017 ",1208,26988,85.9
01063,"Greene County, Alabama",2697,294.8328267477204," 2,498 ",283,7341,74
01065,"Hale County, Alabama",3454,421.88449848024317," 3,959 ",577,14888,71.2
01067,"Henry County, Alabama",2695,252.88753799392097," 2,983 ",776,17899,93.5
01069,"Houston County, Alabama",19198,668.0851063829787," 21,100 ",8847,108462,92.3
01071,"Jackson County, Alabama",8758,567.7811550151976," 7,372 ",2233,53467,89.6
01073,"Jefferson County, Alabama",106524,2255.31914893617," 106,140 ",16927,662895,82.9
01075,"Lamar County, Alabama",2061,282.67477203647417," 2,655 ",613,13661,81.2
01077,"Lauderdale County, Alabama",12584,740.4255319148936," 10,877 ",2874,96814,85.8
01079,"Lawrence County, Alabama",4506,504.55927051671733," 5,632 ",1078,33502,82.2
01081,"Lee County, Alabama",32119,1317.9331306990882," 18,529 ",3448,183215,74.3
01083,"Limestone County, Alabama",10561,717.3252279635258," 7,217 ",2222,114654,83.3
01085,"Lowndes County, Alabama",2913,217.02127659574467," 3,578 ",440,9717,76.7
01087,"Macon County, Alabama",3611,355.01519756838906," 4,400 ",948,18370,82.7
01089,"Madison County, Alabama",40401,1693.0091185410333," 36,551 ",9166,412600,79.4
01091,"Marengo County, Alabama",4241,409.11854103343467," 4,922 ",744,18684,78.4
01093,"Marion County, Alabama",4809,485.7142857142857," 5,427 ",1073,29244,86.6
01095,"Marshall County, Alabama",15841,993.3130699088146," 14,050 ",5472,100756,88.3
01097,"Mobile County, Alabama",65948,1755.015197568389," 84,919 ",11071,411640,84.8
01099,"Monroe County, Alabama",4371,367.78115501519756," 3,869 ",822,19229,86.4
01101,"Montgomery County, Alabama",41981,1958.662613981763," 53,608 ",5735,224980,80.4
01103,"Morgan County, Alabama",16441,1044.984802431611," 16,516 ",3144,125133,79.1
01105,"Perry County, Alabama",2296,252.27963525835867," 3,514 ",232,7738,77.7
01107,"Pickens County, Alabama",3878,303.3434650455927," 3,654 ",797,18688,80.2
01109,"Pike County, Alabama",7130,495.44072948328267," 6,572 ",1595,33137,82.6
01111,"Randolph County, Alabama",3983,424.9240121580547," 5,075 ",862,22786,91.3
01113,"Russell County, Alabama",12966,920.3647416413373," 11,919 ",1319,58744,71
01115,"St. Clair County, Alabama",10129,890.5775075987842," 11,561 ",2074,95552,86.3
01117,"Shelby County, Alabama",15442,803.6474164133739," 12,405 ",5582,233000,84.9
01119,"Sumter County, Alabama",2801,279.6352583586626," 3,298 ",465,11727,78.4
01121,"Talladega County, Alabama",13665,819.4528875379939," 13,782 ",2072,81132,82.7
01123,"Tallapoosa County, Alabama",6128,531.306990881459," 7,514 ",1505,40677,84.1
01125,"Tuscaloosa County, Alabama",36620,1715.501519756839," 26,766 ",5144,237373,80.2
01127,"Walker County, Alabama",11429,713.0699088145897," 10,573 ",2093,64728,83.2
01129,"Washington County, Alabama",2793,334.3465045592705," 2,970 ",475,15022,76.4
01131,"Wilcox County, Alabama",2943,305.1671732522796," 4,246 ",473,9944,86.5
01133,"Winston County, Alabama",4506,336.7781155015198," 3,418 ",1065,23611,83.9
02013,"Aleutians East Borough, Alaska",423,59.57446808510638,187,397,3461,82.3
02016,"Aleutians West Census Area, Alaska",459,80.85106382978724,136,737,5160,66.2
02020,"Anchorage Municipality, Alaska",26226,1333.7386018237082," 34,763 ",6011,286075,85.7
02050,"Bethel Census Area, Alaska",4351,316.7173252279635," 8,493 ",1510,18224,67
02060,"Bristol Bay Borough, Alaska",83,62.006079027355625,83,445,844,85.5
02063,"Chugach Census Area, Alaska",326,66.26139817629179,400,581,6769,81.2
02066,"Copper River Census Area, Alaska",295,63.22188449848024,417,570,2674,68.9
02068,"Denali Borough, Alaska",131,50.45592705167173,105,391,1584,77
02070,"Dillingham Census Area, Alaska",774,283.28267477203644," 1,527 ",942,4607,85.6
02090,"Fairbanks North Star Borough, Alaska",5669,716.1094224924012," 6,820 ",2038,94840,81.1
02100,"Haines Borough, Alaska",126,40.12158054711246,185,266,2070,73.4
02105,"Hoonah-Angoon Census Area, Alaska",291,57.14285714285714,380,589,2262,72.8
02110,"Juneau City and Borough, Alaska",2565,334.95440729483283," 2,806 ",1319,31555,83.6
02122,"Kenai Peninsula Borough, Alaska",6790,489.36170212765956," 6,859 ",4145,61223,78.6
02130,"Ketchikan Gateway Borough, Alaska",1300,139.209726443769," 1,942 ",881,13738,76.3
02150,"Kodiak Island Borough, Alaska",966,179.93920972644378,955,555,12565,77.7
02158,"Kusilvak Census Area, Alaska",2555,186.62613981762917," 5,400 ",647,8001,54.4
02164,"Lake and Peninsula Borough, Alaska",152,23.70820668693009,343,692,1331,80.9
02170,"Matanuska-Susitna Borough, Alaska",11111,561.0942249240121," 11,768 ",6112,115239,84.2
02180,"Nome Census Area, Alaska",2026,125.83586626139818," 3,530 ",1323,9763,77.8
02185,"North Slope Borough, Alaska",897,139.8176291793313," 1,076 ",464,10603,46.6
02188,"Northwest Arctic Borough, Alaska",1384,91.1854103343465," 2,557 ",959,7361,82.8
02195,"Petersburg Borough, Alaska",188,27.96352583586626,428,656,3427,86.3
02198,"Prince of Wales-Hyder Census Area, Alaska",858,96.65653495440729," 1,100 ",1061,5696,66.6
02220,"Sitka City and Borough, Alaska",688,108.20668693009118,605,739,8282,86.8
02230,"Skagway Municipality, Alaska",81,45.59270516717325,33,282,1095,65
02240,"Southeast Fairbanks Census Area, Alaska",911,159.27051671732522,872,674,7077,78.8
02275,"Wrangell City and Borough, Alaska",227,44.37689969604863,218,400,2064,75
02282,"Yakutat City and Borough, Alaska",39,18.84498480243161,54,203,687,83.8
02290,"Yukon-Koyukuk Census Area, Alaska",1086,131.91489361702128," 1,503 ",1249,5129,59.5
04001,"Apache County, Arizona",20070,727.6595744680851," 22,161 ",4698,65036,65.6
04003,"Cochise County, Arizona",18544,829.1793313069909," 22,107 ",4075,124640,81.5
04005,"Coconino County, Arizona",23485,934.3465045592706," 16,895 ",4771,144472,75.1
04007,"Gila County, Arizona",9297,666.8693009118541," 10,261 ",1678,54003,79.2
04009,"Graham County, Arizona",6319,486.322188449848," 5,721 ",1016,39525,73
04011,"Greenlee County, Arizona",1016,187.8419452887538,639,273,9369,68.6
04012,"La Paz County, Arizona",3001,283.28267477203644," 3,138 ",879,16710,60.8
04013,"Maricopa County, Arizona",497877,6285.714285714285," 467,705 ",99733,4585871,79.9
04015,"Mohave County, Arizona",35787,1561.0942249240122," 33,135 ",6060,223682,72.7
04017,"Navajo County, Arizona",25979,1234.0425531914893," 27,154 ",4679,109175,71.8
04019,"Pima County, Arizona",146560,3473.5562310030396," 144,026 ",27678,1063162,83.7
04021,"Pinal County, Arizona",46664,1711.2462006079027," 54,992 ",9353,484239,83.4
04023,"Santa Cruz County, Arizona",9707,775.0759878419453," 10,891 ",1142,49158,80.6
04025,"Yavapai County, Arizona",29898,1360.4863221884498," 20,101 ",6732,249081,81.3
04027,"Yuma County, Arizona",32921,1640.1215805471124," 44,864 ",5312,213221,73.4
05001,"Arkansas County, Arkansas",2425,275.9878419452888," 1,635 ",737,16307,88
05003,"Ashley County, Arkansas",4215,468.69300911854106," 2,521 ",799,18262,91.2
05005,"Baxter County, Arkansas",6029,507.5987841945289," 2,953 ",1559,42875,86.7
05007,"Benton County, Arkansas",22138,995.1367781155016," 8,814 ",6839,311013,92.1
05009,"Boone County, Arkansas",5018,469.30091185410333," 3,200 ",1239,38530,87.6
05011,"Bradley County, Arkansas",2057,209.72644376899694," 1,262 ",436,10104,86
05013,"Calhoun County, Arkansas",601,115.5015197568389,362,300,4641,91.5
05015,"Carroll County, Arkansas",4586,541.0334346504559," 1,614 ",954,28814,86.1
05017,"Chicot County, Arkansas",2264,271.73252279635255," 2,001 ",416,9538,92
05019,"Clark County, Arkansas",3810,271.73252279635255," 1,914 ",831,21274,86.6
05021,"Clay County, Arkansas",2449,244.98480243161094," 1,362 ",804,14201,87.7
05023,"Cleburne County, Arkansas",3415,294.8328267477204," 1,838 ",1291,25445,91.6
05025,"Cleveland County, Arkansas",1153,185.41033434650456,602,316,7378,89.8
05027,"Columbia County, Arkansas",4642,463.82978723404256," 2,647 ",686,22150,84.8
05029,"Conway County, Arkansas",4261,449.2401215805471," 1,827 ",768,21077,88.4
05031,"Craighead County, Arkansas",20670,1080.243161094225," 10,116 ",2536,113993,84.2
05033,"Crawford County, Arkansas",9998,874.1641337386018," 5,009 ",1677,61891,83.2
05035,"Crittenden County, Arkansas",9684,666.2613981762918," 6,561 ",1711,47139,84.1
05037,"Cross County, Arkansas",3314,325.83586626139817," 1,577 ",629,16420,91.5
05039,"Dallas County, Arkansas",675,122.18844984802432,642,301,6185,86.7
05041,"Desha County, Arkansas",3164,331.30699088145894," 1,823 ",482,10479,84.8
05043,"Drew County, Arkansas",3720,496.048632218845," 1,916 ",572,16945,90.3
05045,"Faulkner County, Arkansas",18099,986.6261398176292," 7,015 ",3101,129951,88.1
05047,"Franklin County, Arkansas",3197,407.90273556231," 1,362 ",645,17468,85.3
05049,"Fulton County, Arkansas",1782,221.27659574468086," 1,324 ",561,12421,85.6
05051,"Garland County, Arkansas",16237,891.1854103343464," 9,087 ",2730,99784,84.1
05053,"Grant County, Arkansas",2205,279.0273556231003," 1,040 ",686,18383,90
05055,"Greene County, Arkansas",7657,637.0820668693009," 4,506 ",1250,46743,87.6
05057,"Hempstead County, Arkansas",3702,418.2370820668693," 2,097 ",746,19343,87.6
05059,"Hot Spring County, Arkansas",5264,507.5987841945289," 2,851 ",1080,33258,86.1
05061,"Howard County, Arkansas",2477,338.60182370820667," 1,392 ",456,12533,85.9
05063,"Independence County, Arkansas",7287,664.4376899696049," 2,935 ",1118,38320,88
05065,"Izard County, Arkansas",2692,300.91185410334344," 1,361 ",721,14169,87.1
05067,"Jackson County, Arkansas",3044,303.3434650455927," 1,941 ",739,16784,83
05069,"Jefferson County, Arkansas",12300,683.8905775075988," 9,438 ",1962,63661,84.3
05071,"Johnson County, Arkansas",4874,392.7051671732523," 2,739 ",911,26129,83.6
05073,"Lafayette County, Arkansas",1658,178.11550151975683,815,415,6095,87.2
05075,"Lawrence County, Arkansas",2854,269.30091185410333," 1,825 ",980,16318,83.8
05077,"Lee County, Arkansas",1926,224.92401215805472," 1,581 ",379,8201,87.7
05079,"Lincoln County, Arkansas",1512,251.67173252279636," 1,175 ",376,12898,82.6
05081,"Little River County, Arkansas",1927,190.27355623100303," 1,322 ",509,11805,87.8
05083,"Logan County, Arkansas",3009,294.22492401215806," 2,044 ",989,21400,90.9
05085,"Lonoke County, Arkansas",8232,747.112462006079," 4,000 ",1972,75944,88.2
05087,"Madison County, Arkansas",2529,300.30395136778117," 1,326 ",504,17775,87.1
05089,"Marion County, Arkansas",3008,280.24316109422494," 1,380 ",794,17514,87.1
05091,"Miller County, Arkansas",8694,550.7598784194529," 4,915 ",1236,42415,85
05093,"Mississippi County, Arkansas",8150,714.2857142857143," 6,190 ",1398,38663,80.8
05095,"Monroe County, Arkansas",1452,162.31003039513678," 1,039 ",367,6512,87.8
05097,"Montgomery County, Arkansas",1762,168.9969604863222,745,468,8620,83.9
05099,"Nevada County, Arkansas",2298,265.04559270516717,826,348,8120,84.2
05101,"Newton County, Arkansas",945,158.66261398176292,706,414,7071,83
05103,"Ouachita County, Arkansas",3913,413.9817629179331," 2,584 ",872,21793,88
05105,"Perry County, Arkansas",1558,178.11550151975683,768,545,10184,88.8
05107,"Phillips County, Arkansas",4534,309.4224924012158," 4,252 ",615,14961,87
05109,"Pike County, Arkansas",1871,198.17629179331306," 1,176 ",587,10208,84.3
05111,"Poinsett County, Arkansas",4466,324.62006079027356," 3,181 ",991,22397,87.5
05113,"Polk County, Arkansas",3611,449.84802431610944," 2,062 ",761,19436,82.5
05115,"Pope County, Arkansas",10633,812.7659574468086," 4,157 ",1677,64593,81.4
05117,"Prairie County, Arkansas",739,120.9726443768997,638,398,8036,81.7
05119,"Pulaski County, Arkansas",63472,2227.355623100304," 36,400 ",9257,400009,78.6
05121,"Randolph County, Arkansas",3879,451.67173252279633," 1,754 ",695,18907,85.7
05123,"St. Francis County, Arkansas",5503,421.88449848024317," 3,955 ",786,22101,79
05125,"Saline County, Arkansas",11244,762.3100303951368," 5,419 ",2746,129574,81.5
05127,"Scott County, Arkansas",1678,240.72948328267478," 1,492 ",320,9851,86.8
05129,"Searcy County, Arkansas",1896,222.49240121580547,731,467,7806,89
05131,"Sebastian County, Arkansas",20559,1190.8814589665653," 11,622 ",3288,129098,87.3
05133,"Sevier County, Arkansas",3049,350.15197568389056," 1,524 ",529,15632,82.7
05135,"Sharp County, Arkansas",2997,336.17021276595744," 2,121 ",963,17968,90.3
05137,"Stone County, Arkansas",2665,321.580547112462," 1,296 ",441,12671,89.2
05139,"Union County, Arkansas",7327,701.5197568389058," 4,084 ",1354,37397,86
05141,"Van Buren County, Arkansas",3069,297.8723404255319," 1,419 ",777,16142,81.3
05143,"Washington County, Arkansas",35887,1482.0668693009118," 10,123 ",5298,261549,86.9
05145,"White County, Arkansas",12190,902.7355623100303," 6,764 ",2247,78452,87.6
05147,"Woodruff County, Arkansas",1361,130.09118541033433,970,375,5964,80.2
05149,"Yell County, Arkansas",2621,223.70820668693008," 1,652 ",709,20044,85.7
06001,"Alameda County, California",149752,2918.54103343465," 157,744 ",40450,1622188,86.8
06003,"Alpine County, California",209,59.57446808510638,125,255,1141,89.4
06005,"Amador County, California",2931,365.34954407294833," 3,731 ",1145,41811,89.8
06007,"Butte County, California",37531,1081.4589665653496," 35,438 ",5671,207172,85
06009,"Calaveras County, California",6083,629.1793313069909," 5,622 ",1431,46565,86.8
06011,"Colusa County, California",2332,363.5258358662614," 2,471 ",613,22037,73.1
06013,"Contra Costa County, California",95048,2618.2370820668693," 94,421 ",24170,1155025,83.3
06015,"Del Norte County, California",2900,358.0547112462006," 6,179 ",777,26589,75.5
06017,"El Dorado County, California",15754,1060.7902735562309," 12,736 ",5674,192215,87.8
06019,"Fresno County, California",185717,3626.139817629179," 237,466 ",19445,1017162,81.3
06021,"Glenn County, California",3511,449.2401215805471," 4,055 ",899,28129,81.6
06023,"Humboldt County, California",25064,1099.0881458966564," 26,310 ",4306,133985,81.2
06025,"Imperial County, California",33705,1595.1367781155016," 45,820 ",2950,179057,79.6
06027,"Inyo County, California",1928,266.8693009118541," 2,253 ",1027,18527,78.7
06029,"Kern County, California",168825,4251.063829787234," 180,911 ",16353,913820,81.5
06031,"Kings County, California",23427,1220.6686930091184," 27,816 ",2564,152682,79.9
06033,"Lake County, California",11156,764.741641337386," 15,399 ",1692,67878,80.9
06035,"Lassen County, California",3279,333.1306990881459," 3,848 ",1117,28861,87.1
06037,"Los Angeles County, California",1322476,9454.103343465045," 1,504,632 ",223722,9663345,84.2
06039,"Madera County, California",30187,1762.3100303951367," 32,255 ",2734,162858,84.9
06041,"Marin County, California",19907,1237.082066869301," 13,848 ",6564,254407,86.8
06043,"Mariposa County, California",2347,272.9483282674772," 2,778 ",563,16919,90.3
06045,"Mendocino County, California",13524,964.1337386018237," 15,711 ",2523,89108,82.9
06047,"Merced County, California",51655,1783.5866261398176," 58,437 ",5177,291920,89.5
06049,"Modoc County, California",1717,217.02127659574467," 1,797 ",412,8500,89.8
06051,"Mono County, California",1441,291.79331306990883,660,551,13066,75.9
06053,"Monterey County, California",52732,2423.70820668693," 45,586 ",9026,430723,78.8
06055,"Napa County, California",11238,756.2310030395137," 8,172 ",4317,133216,84.2
06057,"Nevada County, California",10745,647.4164133738602," 8,995 ",3021,102037,89
06059,"Orange County, California",296493,5172.644376899696," 291,350 ",66724,3135755,88.2
06061,"Placer County, California",27419,1414.5896656534953," 20,891 ",11397,423561,87.8
06063,"Plumas County, California",2075,327.0516717325228," 2,357 ",943,19131,90.8
06065,"Riverside County, California",266955,5306.382978723404," 293,758 ",53490,2492442,84.1
06067,"Sacramento County, California",197472,4118.541033434651," 249,008 ",35659,1584288,83.9
06069,"San Benito County, California",5118,528.8753799392097," 6,114 ",1556,68175,88.9
06071,"San Bernardino County, California",291226,5517.325227963525," 345,028 ",40614,2195611,81.8
06073,"San Diego County, California",330602,4840.729483282675," 391,261 ",71543,3269973,84.4
06075,"San Francisco County, California",87135,1773.8601823708207," 98,175 ",22789,808988,85.9
06077,"San Joaquin County, California",97063,2587.841945288754," 113,700 ",14649,800965,85
06079,"San Luis Obispo County, California",34424,1190.8814589665653," 22,296 ",7156,281639,89.7
06081,"San Mateo County, California",47945,1545.288753799392," 32,023 ",18661,726353,87.4
06083,"Santa Barbara County, California",58387,1855.3191489361702," 52,069 ",10052,441257,84.2
06085,"Santa Clara County, California",128470,3417.629179331307," 121,312 ",44776,1877592,90.4
06087,"Santa Cruz County, California",28613,1297.2644376899696," 30,230 ",6509,261547,84.1
06089,"Shasta County, California",23179,1108.206686930091," 27,553 ",5571,180366,89.3
06091,"Sierra County, California",325,122.79635258358662,329,129,3200,83.2
06093,"Siskiyou County, California",7196,472.9483282674772," 8,473 ",2683,42905,85.7
06095,"Solano County, California",42767,1942.857142857143," 51,102 ",9551,449218,81.2
06097,"Sonoma County, California",41044,1448.632218844985," 37,290 ",13164,481812,85.4
06099,"Stanislaus County, California",71943,2254.103343465046," 79,816 ",10455,551430,86.9
06101,"Sutter County, California",14494,945.8966565349544," 13,342 ",2312,97948,79.9
06103,"Tehama County, California",9988,778.1155015197568," 11,386 ",1618,64896,80.3
06105,"Trinity County, California",2830,458.96656534954406," 2,594 ",651,15670,75.3
06107,"Tulare County, California",83473,2822.4924012158053," 126,486 ",8875,479468,78.1
06109,"Tuolumne County, California",5547,478.419452887538," 6,044 ",1807,54204,92.9
06111,"Ventura County, California",74630,2500.9118541033436," 71,864 ",19060,829590,87.8
06113,"Yolo County, California",34165,1052.2796352583587," 24,324 ",4960,220544,84
06115,"Yuba County, California",12501,820.6686930091186," 17,446 ",1558,85722,74.7
08001,"Adams County, Colorado",48994,2010.9422492401216," 60,533 ",10262,533365,79.9
08003,"Alamosa County, Colorado",2843,451.67173252279633," 4,627 ",505,16655,87.3
08005,"Arapahoe County, Colorado",55261,1937.9939209726444," 60,505 ",17568,656061,83.9
08007,"Archuleta County, Colorado",1134,204.25531914893617," 1,648 ",712,14189,85.9
08009,"Baca County, Colorado",810,96.04863221884499,722,355,3344,72.5
08011,"Bent County, Colorado",1348,164.74164133738603,975,217,5681,74.5
08013,"Boulder County, Colorado",36145,1189.0577507598784," 18,277 ",9177,326831,88.1
08014,"Broomfield County, Colorado",3695,344.0729483282675," 3,035 ",2368,76860,87.2
08015,"Chaffee County, Colorado",1844,266.8693009118541," 1,643 ",577,20617,70.1
08017,"Cheyenne County, Colorado",193,51.671732522796354,189,216,1727,86.7
08019,"Clear Creek County, Colorado",631,120.9726443768997,550,438,9147,78.3
08021,"Conejos County, Colorado",1032,143.46504559270517," 1,650 ",567,7521,85.6
08023,"Costilla County, Colorado",793,106.99088145896657," 1,327 ",248,3628,84.5
08025,"Crowley County, Colorado",762,98.48024316109422," 1,016 ",315,5636,82.1
08027,"Custer County, Colorado",490,97.2644376899696,453,298,5534,90.8
08029,"Delta County, Colorado",4310,365.9574468085106," 4,290 ",1014,31746,88.5
08031,"Denver County, Colorado",78668,2189.665653495441," 86,859 ",18388,716577,83.3
08033,"Dolores County, Colorado",448,116.71732522796353,300,131,2513,69.7
08035,"Douglas County, Colorado",11841,764.1337386018237," 7,615 ",8828,383906,89.1
08037,"Eagle County, Colorado",4553,627.9635258358662," 1,448 ",1619,54381,80.3
08039,"Elbert County, Colorado",1444,204.25531914893617," 1,025 ",944,28806,80.8
08041,"El Paso County, Colorado",60977,2090.577507598784," 78,360 ",16825,744215,83.1
08043,"Fremont County, Colorado",5800,477.2036474164134," 7,845 ",1473,50318,86.5
08045,"Garfield County, Colorado",5539,704.5592705167173," 4,172 ",1339,62707,82.6
08047,"Gilpin County, Colorado",580,169.6048632218845,501,186,5926,73.6
08049,"Grand County, Colorado",1420,213.3738601823708,441,1071,15935,90.3
08051,"Gunnison County, Colorado",2115,300.30395136778117," 1,027 ",886,17321,76.1
08053,"Hinsdale County, Colorado",42,16.41337386018237,9,277,765,76.6
08055,"Huerfano County, Colorado",1193,203.03951367781156," 1,825 ",363,7055,85.3
08057,"Jackson County, Colorado",258,85.1063829787234,116,138,1309,78.6
08059,"Jefferson County, Colorado",38319,1538.6018237082067," 33,873 ",17014,576366,88.6
08061,"Kiowa County, Colorado",170,41.33738601823708,232,182,1384,72.7
08063,"Kit Carson County, Colorado",633,95.44072948328268,933,481,6994,82.8
08065,"Lake County, Colorado",525,164.1337386018237,463,213,7365,59.6
08067,"La Plata County, Colorado",6755,435.258358662614," 4,529 ",2426,56407,83.6
08069,"Larimer County, Colorado",39240,1259.5744680851064," 29,323 ",9335,370771,85
08071,"Las Animas County, Colorado",2378,227.96352583586625," 3,323 ",869,14348,83.9
08073,"Lincoln County, Colorado",447,75.37993920972644,786,399,5480,80.8
08075,"Logan County, Colorado",2506,388.4498480243161," 2,887 ",936,20619,77
08077,"Mesa County, Colorado",17123,917.3252279635258," 18,935 ",3850,159681,90.2
08079,"Mineral County, Colorado",104,29.179331306990882,49,192,944,82.4
08081,"Moffat County, Colorado",1533,197.56838905775075," 1,474 ",432,13327,76.3
08083,"Montezuma County, Colorado",3414,392.09726443768994," 4,892 ",758,26531,75.1
08085,"Montrose County, Colorado",5101,561.0942249240121," 5,456 ",1344,44156,89.6
08087,"Morgan County, Colorado",3515,430.3951367781155," 3,847 ",936,29524,77.2
08089,"Otero County, Colorado",4249,275.37993920972644," 4,689 ",822,18136,74.9
08091,"Ouray County, Colorado",253,61.39817629179331,211,376,5176,93.4
08093,"Park County, Colorado",1266,249.84802431610942," 1,367 ",648,18117,76.9
08095,"Phillips County, Colorado",695,165.95744680851064,469,273,4476,80.6
08097,"Pitkin County, Colorado",1221,232.82674772036475,269,531,16640,75.1
08099,"Prowers County, Colorado",1994,339.209726443769," 2,731 ",549,11751,78.1
08101,"Pueblo County, Colorado",25321,1078.419452887538," 42,097 ",5101,169422,82.1
08103,"Rio Blanco County, Colorado",559,113.06990881458967,764,233,6569,71.7
08105,"Rio Grande County, Colorado",1662,288.14589665653494," 2,429 ",513,11188,72.1
08107,"Routt County, Colorado",1580,204.25531914893617,616,1037,25064,83.6
08109,"Saguache County, Colorado",1142,169.6048632218845," 1,379 ",293,6688,48.6
08111,"San Juan County, Colorado",116,59.57446808510638,51,108,802,76.2
08113,"San Miguel County, Colorado",674,110.03039513677811,317,587,7868,65.9
08115,"Sedgwick County, Colorado",336,55.92705167173252,428,333,2299,80.1
08117,"Summit County, Colorado",2277,367.1732522796353,719,1424,30465,90.5
08119,"Teller County, Colorado",1871,331.9148936170213," 2,444 ",771,24617,85.8
08121,"Washington County, Colorado",353,56.53495440729483,604,526,4855,76.9
08123,"Weld County, Colorado",30256,1423.1003039513678," 32,118 ",8373,359442,79.5
08125,"Yuma County, Colorado",1437,273.5562310030395," 1,267 ",401,9862,75.6
09110,"Capitol Planning Region, Connecticut",96546,2632.826747720365," 122,573 ",24471,975328,81.7
09120,"Greater Bridgeport Planning Region, Connecticut",42096,1621.276595744681," 42,740 ",7234,327651,76
09130,"Lower Connecticut River Valley Planning Region, Connecticut",11625,647.4164133738602," 10,746 ",5117,176215,90.9
09140,"Naugatuck Valley Planning Region, Connecticut",46175,1582.9787234042553," 63,091 ",9712,456128,79.8
09150,"Northeastern Connecticut Planning Region, Connecticut",8137,607.2948328267477," 9,323 ",2997,96692,91.4
09160,"Northwest Hills Planning Region, Connecticut",10224,775.6838905775076," 8,963 ",4588,113463,84.9
09170,"South Central Connecticut Planning Region, Connecticut",63456,1983.5866261398176," 76,429 ",13801,568158,85.7
09180,"Southeastern Connecticut Planning Region, Connecticut",28317,1258.966565349544," 33,788 ",7925,279634,88.4
09190,"Western Connecticut Planning Region, Connecticut",45372,2040.1215805471124," 21,768 ",15533,623907,85.7
10001,"Kent County, Delaware",20323,1092.401215805471," 31,322 ",4546,189789,87.2
10003,"New Castle County, Delaware",56807,1810.3343465045593," 71,285 ",13828,578592,79.2
10005,"Sussex County, Delaware",28116,1422.4924012158056," 18,864 ",12799,263509,91
11001,"District of Columbia, District of Columbia",94140,2737.9939209726444," 139,407 ",18256,678972,73.1
12001,"Alachua County, Florida",52015,1724.0121580547113," 33,655 ",5791,285994,75.6
12003,"Baker County, Florida",3285,586.0182370820669," 4,211 ",376,28368,76
12005,"Bay County, Florida",20821,1348.3282674772036," 23,697 ",5130,190769,84.4
12007,"Bradford County, Florida",4550,369.6048632218845," 4,609 ",620,27858,82.2
12009,"Brevard County, Florida",60603,2096.048632218845," 64,797 ",15165,643979,88.9
12011,"Broward County, Florida",235824,5164.133738601824," 249,980 ",39152,1962531,81.6
12013,"Calhoun County, Florida",2506,306.3829787234043," 2,393 ",412,13470,90.5
12015,"Charlotte County, Florida",18219,967.7811550151976," 14,536 ",5614,206134,88.9
12017,"Citrus County, Florida",24124,1265.6534954407296," 20,921 ",4059,166696,84.6
